Support Service Categories,Stage of Orgs Supported,Industries Supported,Demographics Supported,Languages Supported,Name of Organization,Description of Organization,Testimonial,Location of Organization,Phone Number,Email One,Email Two,Email Three,Website of Organization,Facebook URL,Twitter URL,Instagram URL,Linkedin URL,YouTube URL,Meetup URL,Preferred Contact,Preferred Email,Business Hours,Messaging On/Off,Referral Code On/Off,Referral Code,Referral Code Description,Referral Code Expiration
"Business Setup ,Community Support ,Education & Training ,Funding, Development, & Capital ,Incubators & Accelerators ,Networking ,Commercialization ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Facilitation ,Management & Operations ,Program Development, Management, & Evaluation ,Diversity, Equity, & Inclusion ,Black-Owned Businesses ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,Growth",,"Black ,Returning Citizen ,Woman ,Low Income",,Champaign County Black Chamber of Commerce,"The CCBCC is dedicated to economically empowering and sustaining African American communities through access to capital, contracting, entrepreneurial training, business development, and advocacy.",,"408 Taylor Thomas Lane, Champaign, IL, USA",217-552-3625,theccbcc2002@gmail.com,,,http://www.theccbcc.org/,https://www.facebook.com/theccbcc/,,https://www.instagram.com/theccbcc/?hl=en,,,,,,,off,off,,,
"Community Support ,Incubators & Accelerators ,Coworking Space ,Technology & Software Services ,Location Services & Real Estate Development ,Commercialization ,Government ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Facilitation ,Business/Entrepreneur Resources",,,,,Village of Savoy Business Development Center,The Savoy Business Development Center (SBDC) is the Village's business and technology incubator. We  provide office and laboratory space to firms that are just getting started as well as some that have already established themselves.,,"101 West Tomaras Avenue, Savoy, IL 61874, USA",217-352-7744,info@savoy.govoffice.com,,,https://www.savoy.illinois.gov/sbdc,https://www.facebook.com/Savoy.IL,,,,,,,,,off,off,,,
"Legal Services ,Location Services & Real Estate Development ,Team, Talent, & Human Resources ,Agriculture & Animals ,Business/Entrepreneur Resources",,,Immigrant,,Maatuka Al-Heeti Emkes LLC,Locally owned Maatuka Al-Heeti Emkes LLC has provided residents in the area with caring and professional legal services. Our highly trained and resourceful attorneys have the knowledge you can trust to assist you with all your legal matters. We are proud members of the Illinois State Bar Association.,,"2101 Windsor Pl, Savoy, Champaign, IL 61820, USA",217-356-9500,receptionist@maelaw.net,boyd@maelaw.net,,https://www.maelaw.net/,https://www.facebook.com/maatukalaw.net,,https://www.instagram.com/maeattorneys/,,,,,,,off,off,,,
"Legal Services ,Location Services & Real Estate Development ,Commercialization ,Business/Entrepreneur Resources",,,,German,Hansford Deckert LLP,"Hansford & Deckert was founded with the objective of bringing the highest levels of legal competence and service to the client's doorstep.  Our firm is structured to be responsive to our clients' needs, focusing on results, not billable hours.",,"lincolnshire professional building, 1701 South Prospect Avenue, Champaign, IL 61820, USA",217-356-5575,,jdeckert@law-hd.com,,https://www.law-hd.com/,https://www.facebook.com/Hansford-Deckert-LLP-1635347116775293/?ref=aymt_homepage_panel,https://twitter.com/HansfordDeckert,,,,,,,,off,off,,,
"Legal Services ,Entrepreneur Support Organizations ,Small Businesses ,Business/Entrepreneur Resources",,,,,LegalShield,"With a small business plan from LegalShield, you can get the expert legal support you need without the huge legal bill.",,"Champaign-Urbana, IL, IL, USA",,,,,https://nmeredith.wearelegalshield.com/smb,,,,,,,,,,off,off,,,
"Accounting & Finance Management ,Business Setup ,Legal Services ,Health & Wellness ,Location Services & Real Estate Development ,Team, Talent, & Human Resources ,Entrepreneur Support Organizations ,Small Businesses ,Information Technology ,Business/Entrepreneur Resources",,,,,"Meyer Capel, A Professional Corporation","Meyer Capel is one of the largest, most diversified law firms in Champaign County and has also grown to be nationally recognized due to the diverse practice areas of Meyer Capel's deeply committed attorneys.",,"306 West Church Street, Champaign, Illinois 61820, USA",217-352-1800,attorneys@meyercapel.com,,,https://www.meyercapel.com/,https://www.facebook.com/MeyerCapel/,https://twitter.com/meyercapellaw?lang=en,https://www.instagram.com/meyercapel.attorneys/?hl=en,https://www.linkedin.com/company/meyer-capel-p.c./,,,,,,off,off,,,
"Accounting & Finance Management ,Education & Training ,Legal Services ,Health & Wellness ,Location Services & Real Estate Development ,Team, Talent, & Human Resources ,Business/Entrepreneur Resources",,,,,Robbins Schwartz,"We nurture attorney-client relationships by fostering trust and confidence through clear, timely communication and by delivering the highest level of service. We understand the importance of adapting our specialized knowledge to serve the unique mission, philosophy and needs of your business or governmental entity.",,"301 North Neil Street, Champaign, IL 61820, USA",217-363-3040,,ghall@robbins-schwartz.com,,https://www.rsnlt.com/,,https://twitter.com/RSchwartzLaw,,https://www.linkedin.com/company/robbins-schwartz-nicholas-lifton-&-taylor-ltd./,,,,,,off,off,,,
"Legal Services ,Technology & Software Services ,Health & Wellness ,Location Services & Real Estate Development ,Team, Talent, & Human Resources ,Small Businesses ,Business/Entrepreneur Resources",,,,,"Singleton Law Firm, P.C.","Singleton Law Firm, P.C. is dedicated to serving the legal needs of business and individual clients of east central Illinois and beyond with an emphasis in the areas of corporate, intellectual property (including patent, trademark and copyright) and commercial real estate law.",,"2001 S 1st St, Champaign, IL 61820, USA",217-352-3900,singleton@singletonlawfirm.com,,,https://www.singletonlawfirm.com/,https://m.facebook.com/Singleton-Law-Firm-PC-89834394099/?__tn__=C,https://twitter.com/singletonlaw,,https://www.linkedin.com/company/singleton-law-firm-p.c./about/,,,,,,off,off,,,
"Business Setup ,Legal Services ,Location Services & Real Estate Development ,Small Businesses ,Business/Entrepreneur Resources",,,,,King Business and Patent Law,"Ms. King offers a boutique transactional practice focused on business formation and transactions; patent, trademark and copyright registration and licensing; estate planning; and related legal issues to help you plan for and navigate through various life and business stages and events.",,"301 North Neil Street, Champaign, IL 61820, USA",217-714-8558,info@jckinglaw.com,,,https://jckinglaw.com/,https://www.facebook.com/jckinglaw,https://twitter.com/jckinglaw,https://www.instagram.com/king_business_and_patent_law/,https://www.linkedin.com/in/juliecking/,https://www.youtube.com/channel/UC3jNxJhW178LkpywArIu3dQ,,,,,off,off,,,
"Accounting & Finance Management ,Community Support ,Mentorship ,Small Businesses ,Business/Entrepreneur Resources",,,,,CliftonLarsonAllen (CLA Champaign),"CLA exists to create opportunities for our clients, our people, and our communities through industry-focused wealth advisory, outsourcing, audit, tax, and consulting services.",,"301 North Neil Street, Champaign, IL 61820, USA",217-351-7400,connect@claconnect.com,Jon.Coffman@claconnect.com,,https://www.claconnect.com/locations/illinois/offices/cla-champaign,https://www.facebook.com/CliftonLarsonAllen,https://twitter.com/CLAconnect,https://www.instagram.com/lifeatcla/,,https://www.youtube.com/channel/UCXHA4gqx5lYhyhcr-q1u0Cw,,,,,off,off,,,
"Accounting & Finance Management ,Incubators & Accelerators ,Technology & Software Services ,Health & Wellness ,Team, Talent, & Human Resources ,COVID-19 Resources ,Small Businesses ,Strategic Planning ,Assessment & Evaluation ,Owner Transition & Succession Planning ,Program Development, Management, & Evaluation ,Business/Entrepreneur Resources",,,,,Kemper CPA Group LLP,"Kemper CPA Group encompasses Kemper Technology Consulting, Kemper Capital Management and Kemper 1st Choice Payroll. In a world of accounting firms, Kemper CPA Group has carved out a unique business based on diverse solutions through the passionate pursuit of exceeding expectations.",,"1701 Broadmoor Dr, Champaign, IL 61821, USA",217-351-2073,info@kcpag.com,cliles@kcpag.com,,https://www.kempercpa.com/locations/illinois/champaign,https://www.facebook.com/kempercpa,,,https://www.linkedin.com/company/kemper-cpa-group-llp/,,,,,,off,off,,,
"Accounting & Finance Management ,Business/Entrepreneur Resources",,,,,Stephens & Stull P.C.,"We offer a broad range of services for business owners, executives, and independent professionals. We are affordable, experienced, and friendly.",,"1401 Regency Drive East, Savoy, IL 61874, USA",217-239-3509,info@stephensstull.com,,,https://www.stephensstull.com/,https://www.facebook.com/stephensstull,https://twitter.com/StephensStull,,https://www.linkedin.com/in/william-stull-30798127/,,,,,,off,off,,,
"Accounting & Finance Management ,Small Businesses ,Business/Entrepreneur Resources",,,,,"West & Company, LLC CPA",We offer sound business and financial advice designed to help eliminate the red tape often found in the business and financial world.,,"3121 Village Office Place, Champaign, IL 61822, USA",217-353-5250,,sdixon@westcpa.com,,http://www.westcpa.com/,https://www.facebook.com/West-Company-LLC-166004067516849/,,https://twitter.com/WestCoLLC,https://www.linkedin.com/company/west-company-llc/,,,,,,off,off,,,
"Design Services ,Web Development ,Business Directory",,,,,"Carlton Bruett Design, LLC","Printing, Web, and Brand services",,"1803 Ridge Park Rd, Urbana, IL 61802, USA",217-778-4729,cb@carltonbruettdesign.com,,,http://www.carltonbruettdesign.com/,,,,https://www.linkedin.com/in/carlton-bruett-391b40121/,,,,,,off,off,,,
"Business Setup ,Legal Services ,Incubators & Accelerators ,Communications, Marketing, & Public Relations ,Social Media ,Technology & Software Services ,Design Services ,Small Businesses ,Strategic Planning",,Marketing & Communications,,,Clanin Marketing,"Clanin Marketing is a full-service marketing and design agency based in Champaign, Illinois that serves the Central Illinois area including Bloomington, Springfield, Decatur, Peoria and surrounding areas.",,"1807 South Neil Street, Champaign, IL 61820, USA",309-397-8427,info@claninmarketing.com,scott@claninmarketing.com,,https://www.claninmarketing.com/,https://www.facebook.com/claninmarketing,https://twitter.com/claninmarketing,https://www.instagram.com/clanin_marketing/,https://www.linkedin.com/company/clanin-marketing/,,,,,,off,off,,,
"Arts & Entertainment ,Service Providers ,Business/Entrepreneur Resources",,,,,THE NICODEMUS AGENCY,"Former boutique booking agency; currently the home to operations for The Pygmalion Festival, Smile Politely, and Nicodemus Agency shows in Champaign, IL.",,"11 E University Ave, Champaign, IL 61820, USA",217-621-0031,seth@nicodemusagency.com,,,http://www.nicodemusagency.com/,https://www.facebook.com/NicodemusAgency/,https://twitter.com/nicodemusagency?lang=en,,,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Arts & Entertainment ,Service Providers ,Business/Entrepreneur Resources",,,,,Five Foot Productions,"Let us tell your story with clean, concise, and engaging video. We specialize in promotional short-form narratives and brand journalism for small businesses, organizations, and events.",,"2 Clover Leaf Ct, Savoy, IL 61874, USA",217-840-8505,amanda@fivefootproductions.com,,,,https://www.facebook.com/fivefootproductions/,,https://www.instagram.com/fivefootprovideo/,https://www.linkedin.com/company/five-foot-productions/about/,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Business/Entrepreneur Resources",,,,,Grow Marketing + Communications LLC,"At Grow Marketing + Communications we provide custom marketing strategies, effective social media development, brand management, content curation, and creative support services.",,"Champaign, IL, USA",773-908-3139,natalie@growmktg.com,,,https://www.growmktg.com/,,,,,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Design Services ,Business/Entrepreneur Resources",,,,,Jack Davis Graphics,"My specialties are logo design, collateral design, poster design, and other print media design.",,"Urbana, IL, USA",217-369-7667,jack@jackdavis.com,,,http://www.jackdavis.com/,,,,https://www.linkedin.com/in/jack-davis-144aab98/,,,,,,off,off,,,
"Education & Training ,Incubators & Accelerators ,Technology & Software Services ,Research ,Small Businesses ,Information Technology ,Organizational Planning & Development ,Program Development, Management, & Evaluation ,Business/Entrepreneur Resources",,,,,Research Park at the University of Illinois at Urbana-Champaign,"Located on campus, the Research Park at the University of Illinois at Urbana-Champaign is a technology hub for corporate research and development operations and startup companies. Within the Research Park, there are more than 120 companies employing students and full-time technology professionals.",,"60 Hazelwood Drive, Champaign, IL 61820, USA",217-333-8324,research-park@illinois.edu,,,https://researchpark.illinois.edu/,https://www.facebook.com/illinois.edu,https://twitter.com/UIResearchPark,https://www.instagram.com/uiresearchpark/,https://www.linkedin.com/company/university-of-illinois-research-park/,https://www.youtube.com/channel/UCaNZ896lutGSwzfs-0boX1w,,,,,off,off,,,
"Education & Training ,Technology & Software Services ,Research ,Commercialization ,Entrepreneur Support Organizations ,Small Businesses ,Information Technology ,Business/Entrepreneur Resources",,,,,Entrepreneur-In-Residence Program,The Research Park Entrepreneur-in-Residence (EIR) program provides free consulting to new startup ventures and prospective technology entrepreneurs. The Entrepreneur-in-Residence team features experienced entrepreneurs that have faced challenges in commercializing research/early stage technology.,,"60 Hazelwood Drive, Champaign, IL 61820, USA",217-333-8324,,,,https://researchpark.illinois.edu/resource/eir/,,,,,,,,,,off,off,,,
"Business Setup ,Education & Training ,Funding, Development, & Capital ,Incubators & Accelerators ,Networking ,Research ,Commercialization ,Small Businesses ,Business/Entrepreneur Resources",,,,,FAST PROGRAM AT ILLINOIS: SBIR RESOURCES,"The FAST Center at the University of Illinois Urbana-Champaign provides the resources, support, and expertise necessary to submit a highly competitive proposal – and helps startups and companies bridge the gap between research and commercialization.",,"60 Hazelwood Drive, Champaign, IL 61820, USA",21-333-8324,Gorsuch4@Illinois.edu,,,https://researchpark.illinois.edu/resource/sbir-program/,,,,,,,,,,off,off,,,
"Business Setup ,Education & Training ,Incubators & Accelerators ,Networking ,Entrepreneur Support Organizations ,Small Businesses ,Business/Entrepreneur Resources",,,,,Illinois University Incubator Network,"The Illinois University Incubator Network (IUIN) supports the advancement of entrepreneurship through linking university incubators to resource sharing, technical assistance, and the collection of best practices.",,"60 Hazelwood Drive, Champaign, IL, USA",217-300-2216,ilincubatornetwork@uillinois.edu,,,http://illinoisincubators.org/,https://www.facebook.com/IncubateIL/,https://twitter.com/ILIncubatorNet,,,,,,,,off,off,,,
"Education & Training ,Incubators & Accelerators ,Networking ,Technology & Software Services ,Research ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Information Technology ,Diversity, Equity, & Inclusion ,Business/Entrepreneur Resources",,,Woman,,AWARE (Accelerating Women And underRepresented Entrepreneurs),"AWARE (Accelerating Women And underRepresented Entrepreneurs) is programmed through the EnterpriseWorks incubator at the University of Illinois Research Park. The program exists to support entrepreneurship training, counseling, and networking.",,"60 Hazelwood Drive, Champaign, IL, USA",,lwbleill@illinois.edu,,,https://researchpark.illinois.edu/resource/aware/,,,,,,,,,,off,off,,,
"Community Support ,Communications, Marketing, & Public Relations ,Networking ,Arts & Entertainment ,Food & Beverage ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Food Network ,Business/Entrepreneur Resources",,,,,Visit Champaign County,"With our renowned Midwest Hospitality and our collection of urban and rural experiences, people can’t stop talking about our community. Maybe that’s why we’re the fastest growing city in Illinois.",,"17 Taylor Street, Champaign, IL, USA",217-351-4133,marketing@visitchampaigncounty.org,,,https://www.visitchampaigncounty.org/,https://www.facebook.com/visitchampaign,https://twitter.com/visitchampaign,https://www.instagram.com/visitchampaign/,,https://www.youtube.com/channel/UC9LZBVMGU5KJIoqSOoN-T0Q,,,,,off,off,,,
"Incubators & Accelerators ,Entrepreneur Support Organizations ,Small Businesses ,Facilitation ,Business/Entrepreneur Resources",,,,,Champaign County Chamber of Commerce,"The Champaign County Chamber of Commerce is a member focused business association that facilitates business business growth and improves the quality of life in the region through advocacy, professional development, and a pro-busienss agenda.  We are the voice for business.",,"303 W Kirby Ave, Champaign, IL 61820, USA",217-359-1791,info@champaigncounty.org,,,https://www.champaigncounty.org/,https://www.facebook.com/ccountychamber/,https://twitter.com/ccountychamber,,https://www.linkedin.com/groups/101579/,https://www.youtube.com/channel/UCPy6X7hRxOYu55SPxYKwuCw,,,,,off,off,,,
"Prototyping & Manufacturing ,Design Services ,Research ,Business/Entrepreneur Resources",,,,,"ShapeMaster, Inc.","ShapeMaster got its start as a prototype shop designing and manufacturing small and medium sized parts in various gauges of plastic for designers, engineers, entrpreneurs, and inventors. Forming Solutions in Plastic and more... Design Engineering | Prototyping | Tooling | Injection Molding | Thermoforming",,"108 East Main Street, Ogden, IL 61859, USA",866-670-2799,sales@shape-master.com,,,https://www.shape-master.com/,https://www.facebook.com/ShapemasterInc,https://twitter.com/ShapeMasterInc,,https://www.linkedin.com/company/shapemaster-inc/,https://www.youtube.com/channel/UC48hTwPtXqW3hsGpMj7zAJw,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Design Services ,Web Development ,Organizational Planning & Development ,Business/Entrepreneur Resources",,,,,Surface 51,SURFACE 51 is a tightly woven collective of innovative thinkers and doers. We're a marketing and design firm with a brand development niche.,,"804 N Neil St, Champaign, IL 61820, USA",217-356-1300,create@surface51.com,,,https://surface51.com/,https://www.facebook.com/surface51,https://twitter.com/surface51,https://www.instagram.com/surface51/,https://www.linkedin.com/company/surface-51/,,,,,,off,off,,,
"Business Setup ,Community Support ,Education & Training ,Incubators & Accelerators ,Nonprofit Support ,Mentorship ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Facilitation ,Diversity, Equity, & Inclusion ,Business/Entrepreneur Resources","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,Returning Citizen ,Veteran ,Woman ,Youth ,Hawaiian or Other Pacific Islander ,Low Income",,Business Elevator,Business Elevator is a entrepreneurial ecosystem building organization with a focus on improving outcomes for underrepresented and minority entrepreneurs.,,"405 East Hill Street, Champaign, IL, USA",,info@businesselevator.org,mark@businesselevator.org,,https://www.businesselevator.org/,https://www.facebook.com/businesselevatorcu,https://twitter.com/ElevateYaGame,https://www.instagram.com/businesselevatorcu/,https://www.linkedin.com/company/businesselevatorcu/,https://www.youtube.com/channel/UCYeEfmMHIVGmtM4E2u_lg1A,,,,,off,off,,,
"Accounting & Finance Management ,Community Support ,Education & Training ,Funding, Development, & Capital ,Incubators & Accelerators ,Networking ,Coworking Space ,Nonprofit Support ,Mentorship ,Entrepreneur Support Organizations ,Small Businesses ,Strategic Planning ,Facilitation ,Grant Writing ,Business/Entrepreneur Resources",,,,,Community Foundation of East Central Illinois,"As a Community Foundation, we are known by the grants we make. As our endowment continues to grow, so does our ability to fund many worthwhile programs to enhance the quality of life in the east central Illinois area. Grants from the Community Foundation benefit the arts and humanities, community development, health and human services, and education.",,"307 West University Avenue, Champaign, IL 61820, USA",217-359-0125,info@cfeci.org,,,https://cfeci.org/community-solutions-incubator/,https://www.facebook.com/CFECI/,https://twitter.com/CFECI,https://www.instagram.com/communityfoundation_eci_/,,,,,,,off,off,,,
"Business Setup ,Community Support ,Education & Training ,Incubators & Accelerators ,Small Businesses ,Business/Entrepreneur Resources",,,,,Rantoul Area Chamber of Commerce,The Rantoul Area Chamber of Commerce is a business association made up of 200+ businesses and organizations. Invest in your growth and community! Join now!,,"120 E Sangamon Ave, Rantoul, IL 61866, USA",217-893-3323,dir@rantoulchamber.com,,,https://www.rantoulchamber.com/,https://www.facebook.com/rantoulareachamber,,,,,,,,,off,off,,,
"Community Support ,Entrepreneur Support Organizations ,Small Businesses ,Business/Entrepreneur Resources",,,,,Mahomet Area Chamber of Commerce,The Mahomet Chamber of Commerce works to advance economic and community prosperity in the Mahomet area.,,"512 East Main Street, Mahomet, IL 61853, USA",217-586-3165,office@mahometchamberofcommerce.com,,,http://mahometchamberofcommerce.com/,https://www.facebook.com/mahometchamberofcommerce,https://twitter.com/mahometchamber,,,,,,,,off,off,,,
"Community Support ,Nonprofit Support ,Business/Entrepreneur Resources",,,,,University YMCA - UIUC,"Transforming lives and connecting communities in our commitment to social justice, environmental protection, interfaith cooperation and global engagement.",,"1001 S Wright St, Champaign, IL 61820, USA",217-337-1500,marc@universityymca.org,,,https://universityymca.org/welcome/,https://www.facebook.com/UniversityYMCA/,https://twitter.com/UniversityYUIUC,https://www.instagram.com/UniversityYUIUC/,,https://www.youtube.com/channel/UCAcKGmUfYwEYvFJc78VtPTQ,,,,,off,off,,,
"Health & Wellness ,COVID-19 Resources ,Business/Entrepreneur Resources",,,,,Champaign County Safe,"We’re keeping the health and safety of our workers, residents, students, and future visitors at the forefront. Take the Champaign County Safe pledge to show that you’re doing your part in maintaining the well-being of our community.",,"Champaign County, IL, USA",,,,,https://champaigncountysafe.org/,,,,,,,,,,off,off,,,
"Health & Wellness ,COVID-19 Resources ,Business/Entrepreneur Resources",,,,,Champaign-Urbana Public Health District,Champaign-Urbana Public Health District,,"Champaign-Urbana, IL, IL, USA",217-352-7961,coronavirus@c-uphd.org,,,https://www.c-uphd.org/,,,,,,,,,,off,off,,,
"Design Services ,Business/Entrepreneur Resources",,,,,"Jessie Marie Studio, LLC","Our graphic design services deliver a professional visual brand image. Clients rave about the design solutions, organizational skills, and project management techniques used to move their projects to completion.",,"Champaign, IL, USA",217-766-4464,jessie@jessiemariestudio.com,,,https://jessiemariestudio.com/,https://www.facebook.com/jessiemariestudio/,,https://www.instagram.com/jessiemariestudio/,https://www.linkedin.com/in/jessie-scheunemann-4175345/,,,,,,off,off,,,
,,,,,Lincoln & Hill INC,"Lincoln & Hill's mission is to increase skill-sets by training or retraining innovative techniques in the workforce. We develop capacity & competency through interdisciplinary learning and knowledge banking our coined methodology. Our model intentionally redistributes acquired knowledge across silos, subject matters, and industries to create accessible entry points for transferable knowledge.",,"Urbana, Illinois",,,mark@businesselevator.org,,,,,,,,,Lincoln & Hill INc,admin@lincolnhilltraining.com,Online,on,off,,,
